theta_screen,gap_lo,gap_hi,gap_label,n_trades,pead_recall,avg_pnl_pct,hit_pct,sharpe
0.1,-1.0,1.0,all gaps (passthrough),1826,63.796909492273734,0.4471672375405366,53.066812705366914,0.4083306978600651
0.1,0.0,1.0,"gap in [0%,+100%]  (any positive gap)",1104,54.083885209713024,0.34071995050662024,53.17028985507246,0.31903248333755074
0.1,0.02,0.15,"gap in [+2%,+15%]   (mild-moderate positive gap)",456,32.00883002207506,0.25100314042596683,52.19298245614035,0.20945566524363504
0.1,0.03,0.1,"gap in [+3%,+10%]   (moderate positive gap)",279,20.08830022075055,0.4345390581497659,52.68817204301075,0.3450759638869539
0.1,0.05,0.15,"gap in [+5%,+15%]   (large positive gap)",184,20.52980132450331,0.11557836167219827,51.63043478260869,0.08657955570803912
0.1,-0.1,0.0,"gap in [-10%,0%]    (any small negative gap)",688,9.933774834437086,0.48793553569141607,52.616279069767444,0.4440775729858116
0.1,-0.15,-0.02,"gap in [-15%,-2%]  (mild-moderate negative gap)",237,2.207505518763797,1.1758000781392077,56.540084388185655,0.8615629132151464
0.1,0.02,0.08,"gap in [+2%,+8%]    (sweet spot, used in classic PEAD)",361,18.101545253863137,0.2658838411638751,52.63157894736842,0.23135657723321829
0.15,-1.0,1.0,all gaps (passthrough),676,33.77483443708609,0.9968861727336097,57.544378698224854,0.8791530437963129
0.15,0.0,1.0,"gap in [0%,+100%]  (any positive gap)",439,29.58057395143488,1.3306308588831908,58.76993166287016,1.1778437493419704
0.15,0.02,0.15,"gap in [+2%,+15%]   (mild-moderate positive gap)",204,17.880794701986755,1.6101687417890995,59.31372549019608,1.2774965160365261
0.15,0.03,0.1,"gap in [+3%,+10%]   (moderate positive gap)",129,10.375275938189846,1.4970806157556713,58.139534883720934,1.1145174273598306
0.15,0.05,0.15,"gap in [+5%,+15%]   (large positive gap)",87,12.141280353200882,1.9011061449821867,63.2183908045977,1.3785533863946002
0.15,-0.1,0.0,"gap in [-10%,0%]    (any small negative gap)",235,4.415011037527594,0.2274472456774132,55.319148936170215,0.20963660480676255
0.15,-0.15,-0.02,"gap in [-15%,-2%]  (mild-moderate negative gap)",83,0.8830022075055187,0.71436738096887,57.831325301204814,0.560625913943245
0.15,0.02,0.08,"gap in [+2%,+8%]    (sweet spot, used in classic PEAD)",150,9.713024282560706,1.5601840782251286,59.333333333333336,1.3005128503569034
0.2,-1.0,1.0,all gaps (passthrough),237,14.348785871964681,1.8231290015657602,63.71308016877637,1.4796143783661935
0.2,0.0,1.0,"gap in [0%,+100%]  (any positive gap)",161,12.141280353200882,1.9164030662182572,64.59627329192547,1.531952543693162
0.2,0.02,0.15,"gap in [+2%,+15%]   (mild-moderate positive gap)",68,6.401766004415011,2.5520448758503993,66.17647058823529,1.7641354923022126
0.2,0.03,0.1,"gap in [+3%,+10%]   (moderate positive gap)",41,2.869757174392936,1.7987999915660926,60.97560975609756,1.1121322710763348
0.2,0.05,0.15,"gap in [+5%,+15%]   (large positive gap)",32,4.635761589403973,3.418436131763747,65.625,2.0058690378903603
0.2,-0.1,0.0,"gap in [-10%,0%]    (any small negative gap)",76,2.207505518763797,1.3251846723751834,60.526315789473685,1.1169073457722107
0.2,-0.15,-0.02,"gap in [-15%,-2%]  (mild-moderate negative gap)",22,0.22075055187637968,1.8545498294438565,59.09090909090909,1.4605152313119503
0.2,0.02,0.08,"gap in [+2%,+8%]    (sweet spot, used in classic PEAD)",44,2.207505518763797,1.2814237316535815,63.63636363636363,1.0114707503053846
0.25,-1.0,1.0,all gaps (passthrough),81,6.622516556291391,3.6555991952662694,74.07407407407408,2.92759252430317
0.25,0.0,1.0,"gap in [0%,+100%]  (any positive gap)",57,5.739514348785872,3.1643284569727337,71.9298245614035,2.3648018326495817
0.25,0.02,0.15,"gap in [+2%,+15%]   (mild-moderate positive gap)",20,2.4282560706401766,5.36040057456923,75.0,3.392815792520237
0.25,0.03,0.1,"gap in [+3%,+10%]   (moderate positive gap)",10,0.8830022075055187,8.613788371268157,80.0,4.474666640226338
0.25,0.05,0.15,"gap in [+5%,+15%]   (large positive gap)",13,2.207505518763797,7.346984522567131,76.92307692307693,3.872679080131572
0.25,-0.1,0.0,"gap in [-10%,0%]    (any small negative gap)",24,0.8830022075055187,4.365881340398758,75.0,4.173492327946263
0.25,-0.15,-0.02,"gap in [-15%,-2%]  (mild-moderate negative gap)",10,0.22075055187637968,6.4376985701164475,80.0,5.688057343401875
0.25,0.02,0.08,"gap in [+2%,+8%]    (sweet spot, used in classic PEAD)",8,0.22075055187637968,2.83938373010863,75.0,4.419776432890063
0.3,-1.0,1.0,all gaps (passthrough),42,3.9735099337748347,4.930860178523953,80.95238095238095,3.9702248254745918
0.3,0.0,1.0,"gap in [0%,+100%]  (any positive gap)",29,3.3112582781456954,4.6146020916511095,79.3103448275862,3.5544569400169266
0.3,0.02,0.15,"gap in [+2%,+15%]   (mild-moderate positive gap)",13,1.7660044150110374,5.289694370942757,76.92307692307693,3.7228988960576785
