feature,coverage,auc_g1,spearman_g1,auc_ret_pos,spearman_ret,spread_ret_pct,spread_ret_ci,spread_ret_t,spread_car_pct,spread_car_t,spread_first_half,spread_second_half,q_bh
rel_ret_5d,1.0,0.4977,-0.0037,0.4975,-0.0129,-0.521,"[-1.122, 0.058]",-1.72,0.332,1.3,-0.899,-0.178,0.6939470383867661
rel_ret_30d,1.0,0.4879,-0.0191,0.4919,-0.0159,-0.518,"[-1.17, 0.107]",-1.6,0.065,0.21,-1.021,0.076,0.6939470383867661
vix,0.998,0.5268,0.0421,0.5198,0.0446,1.178,"[-0.374, 2.673]",1.52,0.226,0.77,1.552,0.863,0.6939470383867661
revision_ordinal_momentum_90d,0.983,0.4913,-0.0169,0.4965,-0.0063,-0.414,"[-0.956, 0.131]",-1.5,-0.454,-2.57,-0.213,-0.078,0.6939470383867661
revision_intensity_90d,0.983,0.5071,0.0135,0.4987,-0.0032,0.542,"[-0.232, 1.301]",1.39,0.217,1.07,-0.449,-0.186,0.6939470383867661
sue_lag_1,0.911,0.5048,0.0076,0.504,0.0101,0.326,"[-0.178, 0.836]",1.24,0.173,0.83,0.46,0.231,0.6939470383867661
rel_ret_20d,1.0,0.4922,-0.0123,0.4949,-0.0103,-0.355,"[-0.939, 0.211]",-1.21,0.134,0.48,-0.832,0.183,0.6939470383867661
unemployment_roc21,1.0,0.4942,-0.0091,0.5096,0.024,0.852,"[-0.636, 2.348]",1.13,-0.167,-0.64,1.207,-0.355,0.6939470383867661
revision_momentum_90d,0.983,0.4927,-0.0143,0.4969,-0.006,-0.309,"[-0.849, 0.248]",-1.11,-0.337,-1.88,-0.225,-0.103,0.6939470383867661
fed_funds,1.0,0.4935,-0.0103,0.4994,-0.004,-0.783,"[-2.22, 0.643]",-1.06,-0.345,-1.44,-0.947,0.102,0.6939470383867661
sue_lag_2,0.903,0.503,0.0047,0.4999,-0.0021,-0.216,"[-0.69, 0.252]",-0.89,0.058,0.32,-0.67,0.102,0.7099168802691108
last_action_days_before_earnings,0.962,0.4925,-0.0117,0.4964,-0.0077,-0.246,"[-0.81, 0.358]",-0.83,0.144,0.78,-0.393,-0.304,0.7099168802691108
consecutive_surprises_pre,0.977,0.5039,0.0062,0.4989,0.0001,-0.236,"[-0.827, 0.344]",-0.8,0.161,0.71,-0.047,-0.162,0.7099168802691108
revision_momentum_60d,0.983,0.4942,-0.0128,0.497,-0.0073,-0.286,"[-1.007, 0.431]",-0.79,-0.498,-2.52,-0.403,0.199,0.7099168802691108
pre_event_volume_trend,1.0,0.5,0.0001,0.5063,0.0111,0.207,"[-0.328, 0.734]",0.76,-0.202,-1.06,-0.002,0.318,0.7099168802691108
revision_momentum_30d,0.983,0.4977,-0.0063,0.4993,-0.0037,-0.335,"[-1.239, 0.606]",-0.71,-0.397,-1.9,-0.614,-0.192,0.7099168802691108
A2,0.89,0.527,0.0425,0.4929,-0.011,-0.178,"[-0.701, 0.351]",-0.67,-0.485,-2.35,-0.169,-0.096,0.7099168802691108
sector_adjusted_ret_20d,0.765,0.4888,-0.0177,0.4949,-0.011,-0.15,"[-0.7, 0.407]",-0.53,0.032,0.13,-0.41,-0.01,0.7617645159081251
rel_ret_10d,1.0,0.5048,0.0076,0.4957,-0.0069,-0.161,"[-0.768, 0.457]",-0.52,0.699,2.29,-0.743,0.368,0.7617645159081251
rel_ret_3d,1.0,0.4986,-0.0022,0.5012,-0.0039,-0.099,"[-0.622, 0.433]",-0.37,0.448,1.73,-0.146,-0.059,0.830101368741442
n_analysts_covering,0.983,0.5154,0.0249,0.5007,0.0042,0.146,"[-0.647, 0.96]",0.35,0.162,0.77,0.585,-0.197,0.830101368741442
F1_sb_h3,0.8,0.5014,0.0022,0.4988,-0.003,0.088,"[-0.535, 0.729]",0.27,0.483,1.78,-0.426,0.614,0.837482450748681
pre_event_idiosyncratic_vol,1.0,0.5409,0.0645,0.4858,-0.0164,0.106,"[-0.733, 0.948]",0.25,-0.599,-2.22,0.597,-0.688,0.837482450748681
grade_dispersion_90d,0.983,0.5116,0.0192,0.5019,0.0065,0.09,"[-0.865, 1.026]",0.19,-0.174,-0.84,0.627,0.081,0.849309130530409
