strategy,strategy_label,n_slots,n_trades_executed,n_skips,final_nav,irr_pct,sharpe,max_dd_pct,hit_rate_pct,avg_trade_pnl_pct,daily_log_mean_pct,daily_log_std_pct
v1_1_two_stage,"v1.1 P>=0.20 + gap[+2%,+15%]",1,21,57,176582.37475790174,27.127376231071175,0.9345870663884277,-17.790972172544528,57.14285714285714,2.9661907181731078,0.09524577789249752,1.6178051369561173
v1_1_two_stage,"v1.1 P>=0.20 + gap[+2%,+15%]",2,35,43,142658.8810879629,16.179942559023928,1.0095070963528827,-10.055594865056094,57.14285714285714,2.160508883576458,0.05951191752481667,0.9358253204498155
v1_1_two_stage,"v1.1 P>=0.20 + gap[+2%,+15%]",3,46,32,158820.2912737754,21.563875676149415,1.5442423896301243,-8.034198614043408,60.86956521739131,3.1942377838698475,0.07748796205427821,0.7965609006830647
v1_1_two_stage,"v1.1 P>=0.20 + gap[+2%,+15%]",4,56,22,157967.35154950473,21.28786974783892,1.9194507242864924,-6.069892731683635,66.07142857142857,3.41207262891216,0.07658596146132934,0.6333917512675837
v1_1_two_stage,"v1.1 P>=0.20 + gap[+2%,+15%]",8,77,1,127788.76614100182,10.905142119387556,1.642057217316745,-4.692269260527249,59.74025974025974,2.608113550950699,0.04107344224818267,0.39707539480757137
v1_1_two_stage,"v1.1 P>=0.20 + gap[+2%,+15%]",16,78,0,112745.74026736798,5.194254441832569,1.5437336254397664,-2.4229158313877286,58.97435897435898,2.4960097011572833,0.020094641766706035,0.2066369412233151
v1_two_stage,"v1 P>=0.20 + gap[+2%,+15%]",1,25,73,89824.00146723156,-4.4289319712039195,-0.12496842242028507,-51.20146035931449,32.0,-0.03328669626664116,-0.017976209292144725,2.283484561879349
v1_two_stage,"v1 P>=0.20 + gap[+2%,+15%]",2,42,56,112783.33548485144,5.209059456777321,0.19403222279128104,-33.9639824168706,50.0,0.7845012167096109,0.02015048695118836,1.6485872274887472
v1_two_stage,"v1 P>=0.20 + gap[+2%,+15%]",3,54,44,122854.67074236611,9.07699583217676,0.4648436961969226,-23.37312037874284,51.85185185185185,1.3168695883544888,0.03447771057575225,1.1774208099265733
v1_two_stage,"v1 P>=0.20 + gap[+2%,+15%]",4,65,33,127529.37928305831,10.810062355126426,0.7070523108156099,-18.48857215332973,55.38461538461539,1.643955382824564,0.04073309511154623,0.9145260657155976
v1_two_stage,"v1 P>=0.20 + gap[+2%,+15%]",8,92,6,119743.6085681812,7.902408633744362,0.8802286282373608,-9.882701906013502,55.434782608695656,1.6449291078658796,0.030181352722395645,0.544306351574181
v1_two_stage,"v1 P>=0.20 + gap[+2%,+15%]",16,98,0,110814.02703732073,4.4296708970246845,0.9678800659486394,-5.008713633346007,55.10204081632652,1.7157789779928698,0.017199862331996326,0.2821002960056218
v1_1_sunday_passthru,v1.1 P>=0.20 (no gap),1,31,125,186508.69254825966,30.039071170630137,0.8688097020414834,-17.790972172544517,64.51612903225806,2.2400619064732594,0.10423205030894195,1.9044819731985758
v1_1_sunday_passthru,v1.1 P>=0.20 (no gap),2,53,103,175835.9886891523,26.849734035808346,1.186738250918857,-12.406192673119909,62.264150943396224,2.2948941790166026,0.09437817594141744,1.262457813728929
v1_1_sunday_passthru,v1.1 P>=0.20 (no gap),3,70,86,149828.11663928337,18.575741022936178,1.0990043894270685,-11.904469465833012,60.0,1.866041295390784,0.06761179966619812,0.9766147852428284
v1_1_sunday_passthru,v1.1 P>=0.20 (no gap),4,82,74,158919.73975741284,21.556247835994814,1.4997886036053067,-8.877705960232984,62.19512195121951,2.4243437864419843,0.0774630614359867,0.8199074357447138
v1_1_sunday_passthru,v1.1 P>=0.20 (no gap),8,123,33,136843.97451066007,14.131661363154535,1.4971903157773414,-8.216528366482956,60.97560975609756,2.1314363836693992,0.0524533810447051,0.5561560554587476
v1_1_sunday_passthru,v1.1 P>=0.20 (no gap),16,156,0,118106.98172380678,7.264809070455724,1.4163694556315276,-4.476092953319921,58.333333333333336,1.7544001817240713,0.027829540555115502,0.3119102272833233
random_universe,random 1-per-week baseline,1,43,64,137403.02415524164,13.62205094592337,0.39201257959262337,-24.540700120923265,55.81395348837209,0.9330906147205236,0.05067754440533039,2.0521816900528402
random_universe,random 1-per-week baseline,2,78,29,101735.36059833848,0.6938791101716468,0.02756997334440407,-26.182202820604385,52.56410256410257,0.2104520381507932,0.0027439795534347842,1.5799551818591457
random_universe,random 1-per-week baseline,3,107,0,163012.56872906638,21.701127334089954,0.980900524091727,-13.598441934116579,60.747663551401864,1.489332096860411,0.07793574491438925,1.2612813096126956
random_universe,random 1-per-week baseline,4,107,0,146157.8681535849,16.47811376637287,1.0040807252839097,-10.411159590644125,60.747663551401864,1.489332096860411,0.06052904948514276,0.956963665961316
random_universe,random 1-per-week baseline,8,107,0,121466.36605036622,8.129464911952233,1.0277940063493014,-5.314106762536608,60.747663551401864,1.489332096860411,0.031015504918552136,0.47904129717488064
random_universe,random 1-per-week baseline,16,107,0,110342.024464561,4.034690612405867,1.0395342546089918,-2.684729757122728,60.747663551401864,1.489332096860411,0.015696119489739174,0.23969202289723435
