date,day_idx,cash,n_open_positions,realized_dollars_so_far,nav,log_ret
2024-01-26,3149,75000.0,1,0.0,100000.0,0.0
2024-01-29,3150,75000.0,1,0.0,100825.52981763902,0.008221409581625327
2024-01-30,3151,75000.0,1,0.0,100252.58748153227,-0.005698719426519242
2024-01-31,3152,24852.143913247783,3,0.0,100295.71217350443,0.0004300678959735794
2024-02-01,3153,24852.143913247783,3,0.0,97846.61639280064,-0.024721830326901673
2024-02-02,3154,449.1747380264351,4,0.0,97611.87670088539,-0.002401940187475339
2024-02-05,3155,449.1747380264351,4,0.0,98085.89612769385,0.0048444123506749355
2024-02-06,3156,449.1747380264351,4,0.0,98390.1840969125,0.0030974580941888073
2024-02-07,3157,449.1747380264351,4,0.0,98400.48784481526,0.00010471784877295873
2024-02-08,3158,449.1747380264351,4,0.0,98985.72900736914,0.005929926484625742
2024-02-09,3159,23071.156009588714,3,0.0,98643.69011548102,-0.0034614202168455027
2024-02-12,3160,23071.156009588714,3,0.0,98503.19958692013,-0.001425237319792433
2024-02-13,3161,23071.156009588714,3,0.0,98009.54246383475,-0.0050241847562536406
2024-02-14,3162,72788.39079769989,1,0.0,98488.94495479407,0.0048794619076943865
2024-02-15,3163,72788.39079769989,1,0.0,98341.21231928673,-0.0015011181751261255
2024-02-16,3164,98737.62822456477,0,0.0,98737.62822456477,0.004022922387951287
2024-02-20,3165,98737.62822456477,0,0.0,98737.62822456477,0.0
2024-02-21,3166,74053.22116842358,1,0.0,98737.62822456477,0.0
2024-02-22,3167,74053.22116842358,1,0.0,98014.16963558795,-0.007354055793722614
2024-02-23,3168,74053.22116842358,1,0.0,98506.12147610763,0.005006636875598401
2024-02-26,3169,74053.22116842358,1,0.0,98828.8953080966,0.0032713314149595625
2024-02-27,3170,74053.22116842358,1,0.0,99109.37463799263,0.0028340099941007984
2024-02-28,3171,74053.22116842358,1,0.0,98833.3473609712,-0.0027889629197053157
2024-02-29,3172,49297.58126659541,2,0.0,99022.5596073127,0.001912627294491526
2024-03-01,3173,49297.58126659541,2,0.0,98906.40760500079,-0.0011736737404454633
2024-03-04,3174,49297.58126659541,2,0.0,99878.10987862365,0.009776516054081094
2024-03-05,3175,49297.58126659541,2,0.0,100079.33419911674,0.002012672139800798
2024-03-06,3176,75602.5355620728,1,0.0,100250.54224691977,0.0017092616690376951
2024-03-07,3177,75602.5355620728,1,0.0,100378.35669209967,0.0012741381042042394
2024-03-08,3178,75602.5355620728,1,0.0,100660.89388664588,0.002810768342463886
2024-03-11,3179,75602.5355620728,1,0.0,101266.33073205715,0.0059966025958870075
2024-03-12,3180,75602.5355620728,1,0.0,101299.96611238833,0.0003320925658836225
2024-03-13,3181,75602.5355620728,1,0.0,101387.41810117083,0.0008629248884780199
2024-03-14,3182,100674.34803877835,0,0.0,100674.34803877835,-0.007057970799140451
2024-03-15,3183,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-03-18,3184,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-03-19,3185,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-03-20,3186,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-03-21,3187,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-03-22,3188,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-03-25,3189,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-03-26,3190,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-03-27,3191,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-03-28,3192,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-01,3193,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-02,3194,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-03,3195,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-04,3196,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-05,3197,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-08,3198,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-09,3199,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-10,3200,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-11,3201,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-12,3202,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-15,3203,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-16,3204,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-17,3205,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-18,3206,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-19,3207,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-22,3208,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-23,3209,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-24,3210,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-25,3211,100674.34803877835,0,0.0,100674.34803877835,0.0
2024-04-26,3212,75505.76102908376,1,0.0,100674.34803877835,0.0
2024-04-29,3213,75505.76102908376,1,0.0,99257.87276599085,-0.014169791815973713
2024-04-30,3214,75505.76102908376,1,0.0,99941.33584875605,0.006862133333509688
2024-05-01,3215,75505.76102908376,1,0.0,99840.66464668688,-0.0010078106169758626
2024-05-02,3216,25879.18412738516,3,0.0,99253.1538033972,-0.005901866298128183
2024-05-03,3217,1010.4728417950355,4,0.0,99474.8451423605,0.0022311041433627143
2024-05-06,3218,1010.4728417950355,4,0.0,100759.32079847142,0.012829911113921186
2024-05-07,3219,1010.4728417950355,4,0.0,104127.75458448788,0.03288384405363798
2024-05-08,3220,1010.4728417950355,4,0.0,104735.90824284755,0.005823467508016676
2024-05-09,3221,1010.4728417950355,4,0.0,104843.0886831421,0.0010228167059729146
2024-05-10,3222,28152.37271069225,3,0.0,105068.9196968815,0.00215167395719501
2024-05-13,3223,28152.37271069225,3,0.0,106370.09244673469,0.01230793846733733
2024-05-14,3224,28152.37271069225,3,0.0,105787.48154888848,-0.005492260789069675
2024-05-15,3225,28152.37271069225,3,0.0,106122.14456111174,0.0031585473165599122
2024-05-16,3226,80231.0177834486,1,0.0,106447.4274833726,0.0030604867200066848
2024-05-17,3227,106530.73974898597,0,0.0,106530.73974898597,0.0007823550267663152
2024-05-20,3228,106530.73974898597,0,0.0,106530.73974898597,0.0
2024-05-21,3229,106530.73974898597,0,0.0,106530.73974898597,0.0
2024-05-22,3230,106530.73974898597,0,0.0,106530.73974898597,0.0
2024-05-23,3231,106530.73974898597,0,0.0,106530.73974898597,0.0
2024-05-24,3232,106530.73974898597,0,0.0,106530.73974898597,0.0
2024-05-28,3233,106530.73974898597,0,0.0,106530.73974898597,0.0
2024-05-29,3234,106530.73974898597,0,0.0,106530.73974898597,0.0
2024-05-30,3235,106530.73974898597,0,0.0,106530.73974898597,0.0
2024-05-31,3236,106530.73974898597,0,0.0,106530.73974898597,0.0
2024-06-03,3237,106530.73974898597,0,0.0,106530.73974898597,0.0
2024-06-04,3238,79898.05481173948,1,0.0,106530.73974898597,0.0
2024-06-05,3239,79898.05481173948,1,0.0,106097.22824611502,-0.004077658340391457
2024-06-06,3240,79898.05481173948,1,0.0,106549.58807519775,0.004254571211264143
2024-06-07,3241,79898.05481173948,1,0.0,106188.32848947195,-0.003396290974490608
2024-06-10,3242,79898.05481173948,1,0.0,106678.38497097825,0.004604358655336068
2024-06-11,3243,79898.05481173948,1,0.0,107209.27949261009,0.004964247126940527
2024-06-12,3244,79898.05481173948,1,0.0,107199.8553295042,-8.79082238710365e-05
2024-06-13,3245,79898.05481173948,1,0.0,105993.56245195022,-0.011316538415129359
2024-06-14,3246,79898.05481173948,1,0.0,106037.54187977771,0.00041483940383947013
2024-06-17,3247,79898.05481173948,1,0.0,105808.22057753438,-0.0021649844599712733
2024-06-18,3248,106518.17419817811,0,0.0,106518.17419817811,0.006687404712296384
2024-06-20,3249,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-06-21,3250,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-06-24,3251,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-06-25,3252,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-06-26,3253,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-06-27,3254,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-06-28,3255,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-01,3256,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-02,3257,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-03,3258,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-05,3259,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-08,3260,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-09,3261,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-10,3262,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-11,3263,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-12,3264,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-15,3265,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-16,3266,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-17,3267,106518.17419817811,0,0.0,106518.17419817811,0.0
2024-07-18,3268,79888.63064863358,1,0.0,106518.17419817811,0.0
2024-07-19,3269,79888.63064863358,1,0.0,105480.65951444003,-0.00978800636606416
2024-07-22,3270,79888.63064863358,1,0.0,105622.1387894848,0.0013403829543102489
2024-07-23,3271,53408.42633387127,2,0.0,105920.81725904925,0.0028238110463529188
2024-07-24,3272,26995.22942786494,3,0.0,105652.78762402532,-0.00253367879757358
2024-07-25,3273,723.4939906827931,4,0.0,105086.94174872857,-0.005370104980238244
2024-07-26,3274,723.4939906827931,4,0.0,106559.878170499,0.013919039301152543
2024-07-29,3275,723.4939906827931,4,0.0,109298.41969919717,0.025374873202610927
2024-07-30,3276,723.4939906827931,4,0.0,108848.56507082071,-0.004124331734620892
2024-07-31,3277,723.4939906827931,4,0.0,109588.79169679483,0.006777498779696316
2024-08-01,3278,27169.638479992587,3,0.0,109981.65372882095,0.0035784638546800464
2024-08-02,3279,27169.638479992587,3,0.0,108614.08363395809,-0.01251248495333326
2024-08-05,3280,27169.638479992587,3,0.0,107473.78101453261,-0.010554162364947698
2024-08-06,3281,53776.393154775076,2,0.0,105379.31066729428,-0.019680596920649995
2024-08-07,3282,26525.023483513072,3,0.0,105420.13133280017,0.00038729387164243833
2024-08-08,3283,26512.132728594363,3,0.0,106085.73992100553,0.006294017102969081
2024-08-09,3284,0.0,4,0.0,109509.02839844307,0.031759362650376655
2024-08-12,3285,0.0,4,0.0,109936.61941791893,0.0038970156380228166
2024-08-13,3286,0.0,4,0.0,109792.12128286951,-0.0013152412872224873
2024-08-14,3287,0.0,4,0.0,111211.86402752204,0.012848295684613308
