trade_id,permaTicker,entry_date,exit_date,calendar_week_group,allocated_dollars,entry_nav,realized_arith_pct,pnl_dollars,n_open_at_entry
0,US000000008836,2024-01-26,2024-02-09,2024-W04,25000.0,100000.0,-0.09512074913750879,-2378.01872843772,0
1,US000000000957,2024-01-31,2024-02-14,2024-W05,25073.92804337611,100295.71217350443,-0.02677541121477045,-671.36473413096,1
2,US000000002482,2024-01-31,2024-02-14,2024-W05,25073.92804337611,100295.71217350443,0.009601345073394718,240.74343548992286,1
3,US000000002348,2024-02-02,2024-02-16,2024-W05,24402.969175221348,97611.87670088539,0.06336393905761284,1546.2682516435302,0
4,US000000002795,2024-02-21,2024-03-06,2024-W08,24684.407056141194,98737.62822456477,0.06565064478358718,1620.5472393361983,0
5,US000000008417,2024-02-29,2024-03-14,2024-W09,24755.639901828174,99022.5596073127,0.012771739132222182,316.17257487737976,0
6,US000000001713,2024-04-26,2024-05-10,2024-W17,25168.587009694587,100674.34803877835,0.07840379988127788,1973.3128592026244,0
7,US000000002135,2024-05-02,2024-05-16,2024-W18,24813.2884508493,99253.1538033972,0.015067264573883188,373.8683820370265,1
8,US000000002569,2024-05-02,2024-05-16,2024-W18,24813.2884508493,99253.1538033972,0.08375350140056015,2078.19978902071,1
9,US000000001101,2024-05-03,2024-05-17,2024-W18,24868.711285590125,99474.8451423605,0.05754261503596414,1431.0106799472494,0
10,US000000009724,2024-06-04,2024-06-18,2024-W23,26632.684937246493,106530.73974898597,-0.0004718093890069275,-12.565550807856269,0
11,US000000009317,2024-07-18,2024-08-01,2024-W29,26629.543549544527,106518.17419817811,-0.006887052340702637,-183.39906023473347,0
12,US000000002469,2024-07-23,2024-08-06,2024-W30,26480.20431476231,105920.81725904925,0.004779055271474153,126.55036002017744,0
13,US000000000957,2024-07-24,2024-08-07,2024-W30,26413.19690600633,105652.78762402532,-0.032580136626379264,-860.5455639371443,0
14,US000000002923,2024-07-25,2024-08-08,2024-W30,26271.735437182146,105086.94174872858,0.004845375516805417,127.29642367131163,0
15,US000000001406,2024-08-07,2024-08-21,2024-W32,26402.010506665596,105608.04202666238,0.09658086822896661,2549.929097724062,1
16,US000000001656,2024-08-07,2024-08-21,2024-W32,26402.010506665596,105608.04202666238,0.053199999999999914,1404.5869589546073,1
17,US000000001459,2024-08-08,2024-08-22,2024-W32,26411.922615772168,105647.69046308867,0.1093402385205553,2887.8859185949777,0
18,US000000069257,2024-08-09,2024-08-23,2024-W32,26512.132728594363,109509.02839844307,0.08133333333333326,2156.3201285923396,0
19,US000000000434,2024-10-24,2024-11-07,2024-W43,28681.699615390928,114726.79846156371,0.05097613882863339,1462.0823014353289,1
20,US000000002563,2024-10-24,2024-11-07,2024-W43,28681.699615390928,114726.79846156371,0.08337837837879425,2391.4336030789823,1
21,US000000002569,2024-10-31,2024-11-14,2024-W44,29640.475428430793,118561.90171372317,0.049814951887490855,1476.5388573896348,1
22,US000000043020,2024-10-31,2024-11-14,2024-W44,27722.923802351062,118561.90171372317,-0.033919123204837476,-940.3372680502671,1
23,US000000072118,2025-01-17,2025-02-03,2025-W03,29779.128988854347,119116.51595541739,0.03481342505721585,1036.7134753226449,0
24,US000000001406,2025-02-05,2025-02-20,2025-W06,30038.307357685007,120153.22943074003,-0.006249999999999978,-187.73942098553064,1
25,US000000002772,2025-02-05,2025-02-20,2025-W06,30038.307357685007,120153.22943074003,-0.0035824272510525113,-107.61005085366192,1
26,US000000006411,2025-02-06,2025-02-21,2025-W06,29912.815985369452,119651.26394147781,-0.08372633053697598,-2504.4903184827817,0
27,US000000000960,2025-02-26,2025-03-12,2025-W09,29338.347410104514,117353.38964041806,-0.11097560975609755,-3255.840993072574,0
28,US000000001713,2025-04-25,2025-05-09,2025-W17,28524.38716183637,114097.54864734548,0.12955844155833707,3695.5751470941573,1
29,US000000005699,2025-04-25,2025-05-09,2025-W17,28524.38716183637,114097.54864734548,0.10224779390184935,2916.5556597000027,1
30,US000000005131,2025-04-29,2025-05-13,2025-W18,28831.53310802164,115326.13243208655,0.03527786632684893,1017.1149709829066,0
31,US000000011306,2025-05-08,2025-05-22,2025-W19,28217.241215651095,120818.43501862479,0.007682458386810698,216.77778142983925,0
32,US000000001863,2025-06-04,2025-06-18,2025-W23,30485.893051638093,121943.57220655237,-0.0006479044340959028,-19.751945285529796,0
33,US000000001239,2025-06-10,2025-06-25,2025-W24,30807.47941081816,123229.91764327264,0.018366194911498823,565.8161715910733,0
34,US000000002972,2025-07-24,2025-08-07,2025-W30,30622.40910821448,122489.63643285792,-0.0047471136376956435,-145.36805589670024,0
35,US000000001168,2025-08-05,2025-08-19,2025-W32,30535.367741412134,122141.47096564854,-0.09512907555064343,-2904.801304839475,1
36,US000000011798,2025-08-05,2025-08-19,2025-W32,30535.367741412134,122141.47096564854,-0.0570455040335206,-1741.9054436577608,1
37,US000000001869,2025-08-06,2025-08-20,2025-W32,30703.21355793476,122812.85423173904,0.128152260111023,3934.686210120743,0
38,US000000002733,2025-08-08,2025-08-22,2025-W32,30154.474447287197,120617.89778914879,0.15990259740259738,4821.7787874314745,0
39,US000000001712,2025-08-28,2025-09-12,2025-W35,31613.506656504047,126454.02662601619,-0.06876123277640944,-2173.783690086444,0
40,US000000001731,2025-10-17,2025-10-31,2025-W42,31070.060733982435,124280.24293592974,0.05010020040538454,1556.616269379989,0
41,US000000001651,2025-10-22,2025-11-05,2025-W43,31339.874220653757,125359.49688261503,-0.0010689031120421078,-33.49928908546503,0
42,US000000008669,2025-11-04,2025-11-18,2025-W45,31429.852986227244,125719.41194490898,-0.010850801477617411,-341.0390952242526,0
43,US000000002363,2025-11-06,2025-11-20,2025-W45,31408.210092153033,125632.84036861213,-0.008904213398223115,-279.6654051167555,1
44,US000000002056,2025-11-06,2025-11-20,2025-W45,31408.210092153033,125632.84036861213,0.2355174353205849,7397.181088913993,1
45,US000000005851,2025-11-07,2025-11-21,2025-W45,30582.182549707235,122328.73019882894,0.02947319563750983,901.3546493095605,0
46,US000000003024,2026-02-03,2026-02-18,2026-W06,33370.2977885267,133481.1911541068,0.051928902710319136,1732.882947274781,1
47,US000000002143,2026-02-03,2026-02-18,2026-W06,33370.2977885267,133481.1911541068,0.030901623313519977,1031.196372121041,1
48,US000000011549,2026-02-04,2026-02-19,2026-W06,33440.09668175431,133760.38672701723,0.3435069327020628,11486.90504040985,1
49,US000000001406,2026-02-04,2026-02-19,2026-W06,33300.4988952991,133760.38672701723,0.09601562499999994,3197.36821424395,1
50,US000000001712,2026-03-19,2026-04-02,2026-W12,37732.385932039106,150929.54372815642,0.07336981304149548,2768.4181014432634,0
51,US000000001954,2026-04-23,2026-05-07,2026-W17,38424.49045739992,153697.9618295997,0.054912138726834536,2109.9709505046744,0
52,US000000108620,2026-04-28,2026-05-12,2026-W18,38565.46966577932,154261.87866311727,-0.05197396052110259,-2004.4001978869937,0
53,US000000001101,2026-05-01,2026-05-15,2026-W18,38085.90931460793,152343.63725843173,0.019710971293747548,750.7102651965093,0
54,US000000002143,2026-05-05,2026-05-19,2026-W19,37853.00663396986,151412.02653587944,0.006921612736458416,262.00385283093067,0
55,US000000042687,2026-05-29,2026-06-12,2026-W22,38704.06167506121,154816.24670024484,0.08141535314083792,3151.1048492598793,0
