theta,picks,pead_picks,precision,recall,f1,pnl_all,pnl_pead,hit_pead
0.05,2806,353,0.12580185317177478,0.9644808743169399,0.2225725094577554,0.5903339867337851,6.6818508054482795,80.41122981674397
0.08,1985,286,0.14408060453400504,0.7814207650273224,0.24330072309655465,0.6261105456614536,6.435436169209197,79.46535220993923
0.1,1451,225,0.15506547208821503,0.6147540983606558,0.24766097963676387,0.5653656386923709,5.877637558971195,77.37318009858994
0.12,1064,184,0.17293233082706766,0.5027322404371585,0.2573426573426573,0.757594424555438,5.791032354683976,75.95671667876637
0.15,597,131,0.21943048576214405,0.35792349726775957,0.2720664589823468,0.8244414806820295,5.494240627825212,74.56593590494519
0.18,341,82,0.2404692082111437,0.22404371584699453,0.23196605374823195,1.1326116631047034,5.7743259156138915,75.91999718547706
0.2,241,66,0.27385892116182575,0.18032786885245902,0.21746293245469525,1.7540067588401664,6.610752751435003,79.97258771929825
0.22,152,48,0.3157894736842105,0.13114754098360656,0.18532818532818532,2.4057597833728273,6.964854861771309,82.56410256410257
0.25,86,30,0.3488372093023256,0.08196721311475409,0.13274336283185842,3.1283467476718148,7.9500850134618855,80.15873015873017
0.28,64,27,0.421875,0.07377049180327869,0.12558139534883722,3.810975213060455,6.390875056967628,81.94444444444446
0.3,43,17,0.3953488372093023,0.04644808743169399,0.08312958435207823,3.4992896566183003,6.729128827892097,83.75
0.35,18,12,0.6666666666666666,0.03278688524590164,0.0625,4.410553105570499,4.031022443647501,77.08333333333333
0.4,10,7,0.7,0.01912568306010929,0.03723404255319149,2.8233655656070846,4.168418146418512,66.66666666666666
0.45,3,3,1.0,0.00819672131147541,0.016260162601626018,-1.9954536281736255,-1.9954536281736255,33.333333333333336
0.5,2,2,1.0,0.00546448087431694,0.010869565217391304,-0.22073481747338813,-0.22073481747338813,50.0
