date,ORCL,QCOM,MU,INTC,MSFT,JDSU
1996-01-02,2.5440583926,1.6696003584,20.2018583739,4.1331039415,3.412024304,9.1875
1996-01-03,2.4264140739,1.5883146724,19.1698598256,4.0717630949,3.3025353904,8.9375
1996-01-04,2.5440583926,1.6696003584,20.2018583739,4.1334564751,3.3215438824,7.9375
1996-01-05,2.4264140739,1.5885054838,19.1674258668,4.0717630949,3.2835268985,8.8125
1996-01-08,2.4852362332,1.5574032143,18.7998980819,4.0625972212,3.2789648604,8.8125
1996-01-09,2.3675919145,1.4501671684,17.7678995337,3.8778696142,3.0485819381,7.655
1996-01-10,2.4852362332,1.55749862,18.8023320408,4.0629497548,3.1314589629,7.5625
1996-01-11,2.3675919145,1.4501671684,17.7678995337,3.8778696142,3.2930311445,7.595
1996-01-12,2.411708534,1.4597077419,17.7070505627,3.8161762339,3.2599563685,8.4375
1996-01-15,2.3528863747,1.3692631053,15.0321297972,3.7636487274,3.1364011708,8.3125
1996-01-16,2.4558251535,1.4501671684,15.8791474736,3.9307496544,3.2835268985,8.125
1996-01-17,2.3528863747,1.3690722939,15.0296958384,3.7632961938,3.2265014227,8.25
1996-01-18,2.4558251535,1.4501671684,15.8815814325,3.9307496544,3.3310481284,8.595
1996-01-19,2.5146473129,1.5360323297,15.6990345195,3.5253360129,3.4926203099,8.905
1996-01-22,2.7058193308,1.6646392602,15.4556386354,3.6663494534,3.4975625178,9.03
1996-01-23,2.7205248707,1.6936426035,15.5773365775,3.7149990904,3.4025200581,8.8125
1996-01-24,2.7058193308,1.6648300716,15.4556386354,3.6663494534,3.4690497799,9.0625
1996-01-25,2.7205248707,1.6934517921,15.5773365775,3.7148228236,3.3975778502,9.125
1996-01-26,2.8896385789,1.7506952329,18.0112954177,3.8602429341,3.440537042,9.03
1996-01-29,2.7717001493,1.7459249462,16.3659392417,3.8383858508,3.4355948341,8.9375
1996-01-30,2.7869939108,1.7699671914,16.4292221715,3.8186439692,3.452322307,8.78
1996-01-31,2.7719942601,1.7459249462,16.3683732005,3.8410463982,3.5165710097,8.75
1996-02-01,2.7866998,1.7697763799,16.4292221715,3.8189967633,3.5781585236,8.625
1996-02-02,2.8087581097,1.7077626523,16.6726180556,3.8972747311,3.5355795017,9.28
1996-02-05,2.9852245878,1.8461009677,18.3155402727,4.1276916518,3.6922094753,9.5625
1996-02-06,2.9484607382,1.8651821147,20.3844052869,4.1982504835,3.6686389453,9.75
1996-02-07,2.874933039,1.822249534,20.1410094029,4.1100519439,3.6827052293,9.0625
1996-02-08,2.9558135082,1.8317901075,19.4108217508,4.083592382,3.7587391971,8.905
1996-02-09,2.8896385789,1.8556415412,18.8631810118,4.092412236,3.806260427,8.78
1996-02-12,2.9374315834,1.8031683871,18.0112954177,4.1089512261,3.782689897,9.25
1996-02-13,2.9558135082,1.7650060932,18.3763892437,4.0306732583,3.787251935,9.75
1996-02-14,3.0109592826,1.7745466666,18.0112954177,4.092412236,3.754177159,9.5
1996-02-15,3.1102216765,1.7936278136,17.1594098236,4.0571328201,3.7446729131,9.875
1996-02-16,3.0881633667,1.8079386738,17.5853526206,4.0615427471,3.7207222132,9.375
1996-02-20,3.0513995171,1.712532939,17.9504464467,4.083592382,3.7161601752,9.125
1996-02-21,3.1175744464,1.7602358064,18.0721443887,4.1806107755,3.796756181,9.595
1996-02-22,3.1837493757,1.6600597849,18.8631810118,4.3040887309,3.8967408486,9.625
1996-02-23,3.154338296,1.621897491,18.3155402727,4.29085895,3.9347578325,9.6875
1996-02-26,3.1911021456,1.6648300716,17.8895974757,4.2599894612,3.8252689189,9.5
1996-02-27,3.1138980615,1.6505192114,16.3683732005,4.2511696072,3.806260427,9.75
1996-02-28,3.1028689066,1.5408026165,16.1858262875,4.286449023,3.806260427,9.8125
1996-02-29,3.058752287,1.5050254659,15.5773365775,4.1497412867,3.75189614,9.75
1996-03-01,2.8899326897,1.5264917562,15.3923557056,3.9555281026,3.6306219614,9.78
1996-03-04,2.8452278485,1.5264917562,15.3923557056,3.8722686812,3.6591346993,9.75
1996-03-05,3.0440467472,1.5169511828,15.1489598216,3.907548097,3.7302264592,9.5
1996-03-06,2.8455219593,1.5264917562,15.3947896644,3.8719158871,3.6876474372,9.5
1996-03-07,3.0440467472,1.5169511828,15.1513937804,3.9071953029,3.6994327022,9.5
1996-03-08,2.9190496586,1.4883294623,14.1778102443,3.7572577856,3.6161755075,9.125
1996-03-11,2.9334610876,1.4787888889,14.6037530414,3.8983754489,3.6686389453,9.375
1996-03-12,2.8381691894,1.5074106093,14.4820550994,3.8722686812,3.6401262074,9.3125
1996-03-13,2.9337551984,1.4787888889,14.6037530414,3.8983754489,3.8347731649,9.5
1996-03-14,2.8381691894,1.5074106093,14.4820550994,3.8719158871,3.787251935,9.5625
1996-03-15,2.9190496586,1.4835591756,14.2386592153,3.9601144266,3.8917986407,9.655
1996-03-18,2.9558135082,1.4929089376,16.8527310097,4.1982504835,4.0012875543,9.875
1996-03-19,2.9334610876,1.4547466437,16.1858262875,4.1453313597,4.0628750682,9.4375
1996-03-20,2.9558135082,1.4930997491,16.8551649686,4.1982504835,3.9773368545,9.655
1996-03-21,2.9337551984,1.4549374552,16.1858262875,4.1453313597,3.8302111268,9.375
1996-03-22,2.9337551984,1.4167751613,15.7598834905,3.9160151568,3.8442774109,9.6875
1996-03-25,2.8016994506,1.5264917562,15.0905448094,3.8729742695,3.796756181,9.375
1996-03-26,2.8234636496,1.5409934279,15.0905448094,3.9597616325,3.9062450946,9.6875
1996-03-27,2.8014053398,1.5264917562,15.0905448094,3.8719158871,3.8967408486,9.5
1996-03-28,2.8234636496,1.5408026165,15.0905448094,3.9601144266,3.8872366027,9.375
1996-03-29,2.8381691894,1.5789649104,15.2730917224,3.9953938424,3.9203113786,9.6875
1996-04-01,2.7569946095,1.521912281,14.9688468674,4.0303204641,3.9062450946,9.375
1996-04-02,2.7572887203,1.5217214695,14.9688468674,4.0306732583,3.9773368545,9.345
1996-04-03,2.7646414902,1.5741946236,14.7862999544,4.0130335504,3.9727748164,9.75
1996-04-04,2.6837610211,1.5598837634,15.3947896644,4.0659526741,3.9678326085,9.875
1996-04-08,2.5440583926,1.5119900846,16.4292221715,4.2772763749,3.9442620785,9.625
1996-04-09,2.5440583926,1.512180896,16.4292221715,4.2776291691,3.8632859028,10.0
1996-04-10,2.4411196137,1.4978700358,16.0032793745,4.3658277086,3.8632859028,10.1875
1996-04-11,2.5440583926,1.531262043,15.9424304035,4.3570078547,3.8442774109,10.25
1996-04-12,2.5808222422,1.5074106093,16.0641283455,4.2688093151,3.8442774109,10.0625
1996-04-15,2.5552346029,1.4978700358,15.8791474736,4.2772763749,3.9355181722,9.5625
1996-04-16,2.5587639324,1.4978700358,15.8815814325,4.2776291691,4.0012875543,9.8125
1996-04-17,2.6984665609,1.2593556989,16.4900711425,4.5775042036,4.0275192732,10.75
1996-04-18,2.7462595654,1.2068825448,16.4292221715,4.5334049338,4.1438512439,10.875
1996-04-19,2.8014053398,1.1687202509,16.6726180556,4.6392431813,4.1723639818,10.8125
1996-04-22,2.9231672097,1.2547762236,16.0641283455,4.7803608446,4.2864149335,10.905
1996-04-23,2.9227260435,1.2545854122,16.0641283455,4.7803608446,4.2814727256,11.0625
1996-04-24,2.9999301277,1.3881534408,16.1858262875,4.8068204065,4.2388937036,11.25
1996-04-25,3.0550759021,1.4501671684,17.6462015916,4.9567579237,4.2864149335,12.75
1996-04-26,3.0330175923,1.4740186021,18.6197851277,4.912658654,4.3149276714,12.75
1996-04-29,3.0219884374,1.502831134,17.7678995337,4.8092899656,4.2814727256,12.905
1996-04-30,3.0219884374,1.5026403225,17.7678995337,4.8096429669,4.3054234254,13.1875
1996-05-01,2.9778718179,1.4787888889,17.7070505627,4.783167868,4.3765151853,14.5625
1996-05-02,2.9011088999,1.4692483154,18.1329933597,4.8008179339,4.2434557417,14.22
1996-05-03,3.0109592826,1.4978700358,17.8287485047,4.791992901,4.2149430038,14.03
1996-05-06,3.0114004488,1.4547466437,17.6462015916,4.8537681317,4.2483979496,14.0625
1996-05-07,2.9558135082,1.5409934279,17.06205147,4.7923459023,4.3004812175,14.28
1996-05-08,3.0109592826,1.4549374552,17.6714104511,4.8537681317,4.3434404093,14.25
1996-05-09,2.9558135082,1.5408026165,17.06205147,4.791992901,4.3149276714,14.375
1996-05-10,2.9006677337,1.5264917562,17.1229873681,4.8537681317,4.3670109393,15.875
1996-05-13,3.077575378,1.7077626523,16.6964360813,5.0655689229,4.5095746289,15.5
1996-05-14,3.0996336878,1.8585037132,16.3893191549,5.145347221,4.5240210828,15.375
1996-05-15,3.0771342118,1.7077626523,16.6964360813,5.0655689229,4.471557645,15.875
1996-05-16,3.0991925216,1.8604118279,16.3917565908,5.1449942196,4.4525491531,15.875
1996-05-17,3.0440467472,1.7936278136,16.513628387,5.1096940878,4.447987115,14.9375
1996-05-20,3.1322799863,1.8985741218,16.0870771003,5.0126187251,4.438482869,15.25
1996-05-21,3.1322799863,1.90353522,15.7848350457,4.9596685273,4.3765151853,15.5
1996-05-22,3.1322799863,1.8985741218,16.0870771003,5.0126187251,4.4430449071,15.4375
