month,theme,companies_available,companies_with_sell,companies_with_buy,seller_count,buyer_count,sell_transaction_count,sell_insider_count,sell_dollars,buy_dollars,net_dollars,baseline_companies,unusual_seller_companies,median_company_sell_percentile,cluster_warning_candidate,insider_coverage_ok,insider_source_companies,news_companies_available,negative_days,positive_days,negative_company_days,positive_company_days,operational_days,raw_articles,raw_company_days,raw_text_articles,negative_categories,positive_categories,negative_companies,positive_companies,negative_company_day_rate,text_coverage_rate,baseline_news_companies,unusual_negative_companies,median_negative_percentile,news_coverage_ok,news_warning_candidate,news_cache_symbols_present,news_source_companies,source_provenance_available
2015-01-31,AI/hyperscale,7,3,1,16,1,3,16,580226133.4275999,999654.1604,-579226479.2671999,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-01-31,clean_energy,6,2,0,10,1,2,10,8337715.302,5950.0,-8331765.302,0,0,,False,False,6,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,6,6,False
2015-01-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-02-28,AI/hyperscale,7,3,1,17,2,3,17,525831569.6276,43476900.5204,-482354669.1072,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-02-28,clean_energy,6,2,1,5,1,2,5,2008558.8,99977.36600000001,-1908581.4340000001,0,0,,False,False,6,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,6,6,False
2015-02-28,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-03-31,AI/hyperscale,7,4,1,21,2,4,21,571995491.5988,43476900.5204,-528518591.07839996,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-03-31,clean_energy,6,3,1,11,2,3,11,8822744.176,99977.36600000001,-8722766.81,0,0,,False,False,6,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,6,6,False
2015-03-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-04-30,AI/hyperscale,7,4,1,21,1,4,21,530312505.645,42477246.36,-487835259.28499997,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-04-30,clean_energy,6,3,1,11,2,4,11,8135095.981500001,99977.36600000001,-8035118.6155,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-04-30,crypto,5,0,0,1,0,1,1,41632.0,0.0,-41632.0,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-05-31,AI/hyperscale,7,4,0,21,0,4,21,621915116.6775,0.0,-621915116.6775,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-05-31,clean_energy,6,3,1,13,2,4,13,8851011.581500001,221200.0,-8629811.581500001,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-05-31,crypto,5,1,0,3,0,2,3,5187657.9975000005,0.0,-5187657.9975000005,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-06-30,AI/hyperscale,7,4,0,13,0,4,13,440038835.8492,0.0,-440038835.8492,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-06-30,clean_energy,6,2,1,6,1,3,6,1154681.2055000002,221200.0,-933481.2055000002,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-06-30,crypto,5,1,0,3,0,2,3,5751720.4975000005,0.0,-5751720.4975000005,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-07-31,AI/hyperscale,7,4,0,11,0,4,11,829355791.4957999,0.0,-829355791.4957999,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-07-31,clean_energy,6,3,1,7,1,3,7,6644757.989999999,221200.0,-6423557.989999999,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-07-31,crypto,5,1,0,2,0,1,2,5710088.4975000005,0.0,-5710088.4975000005,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-08-31,AI/hyperscale,7,5,0,13,0,5,13,590403017.9635,0.0,-590403017.9635,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-08-31,clean_energy,6,4,0,9,1,4,9,23980560.255999997,25200.0,-23955360.255999997,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-08-31,crypto,5,1,0,1,0,1,1,564062.5,0.0,-564062.5,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-09-30,AI/hyperscale,7,5,0,15,0,5,15,689328866.1975,0.0,-689328866.1975,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-09-30,clean_energy,6,4,1,9,2,4,9,24412217.836,404400.0,-24007817.836,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-09-30,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-10-31,AI/hyperscale,7,5,0,19,0,5,19,848723839.2894999,0.0,-848723839.2894999,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-10-31,clean_energy,6,4,1,7,2,4,7,18898283.246,404400.0,-18493883.246,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-10-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-11-30,AI/hyperscale,7,6,0,22,0,6,22,1728915260.8435001,0.0,-1728915260.8435001,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-11-30,clean_energy,6,3,1,12,1,3,12,27640484.5668,379200.0,-27261284.5668,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-11-30,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-12-31,AI/hyperscale,7,6,0,21,0,6,21,1566146706.239,0.0,-1566146706.239,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-12-31,clean_energy,6,4,1,16,1,4,16,34859118.754300006,96573.8,-34762544.95430001,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-12-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
