n,total,annualized,max_dd,mean_month,turnover_month,spy_total,by_year,2020,2022,rotation,floor,cap,step,cost_bps,block,overlay,mean_theme_turnover,mean_exposure
71,0.9609117116728734,0.12054558281818295,-0.16883041852370473,0.01059135058297821,,1.0328464184664052,"{'2014': 0.18960827911453237, '2015': 0.08136562040209938, '2016': 0.09676266152118007, '2017': 0.11443057442716054, '2018': -0.12226290092753678, '2019': 0.42086028117035124}",,,price,0.05,0.5,0.05,0,2014_2019,False,0.0303270928727371,
36,0.4224434775704988,0.12463520091642266,-0.5070959126219692,0.017985106572149807,,0.24705270054961392,"{'2020': 1.2773958932844547, '2021': 0.09955651905071017, '2022': -0.4319599888073634}",1.2773958932844547,-0.4319599888073634,price,0.05,0.5,0.05,0,2020_2022,False,0.03739711934156378,
43,3.5246625088861263,0.5238923394412056,-0.22094669566153968,0.04453511327618977,,1.0430458054963405,"{'2023': 0.8019017306124281, '2024': 1.0177735459141366, '2025': 0.09939401325076735, '2026': 0.13195535165876104}",,,price,0.05,0.5,0.05,0,2023_2026,False,0.021317829457364334,
71,0.9507744746295133,0.11956440261002088,-0.16973390026633406,0.010517293414176648,,1.0328464184664052,"{'2014': 0.18960827911453237, '2015': 0.0804124420655361, '2016': 0.09554558948205893, '2017': 0.11388597857610705, '2018': -0.12321700158462778, '2019': 0.41856812670571664}",,,price,0.05,0.5,0.05,25,2014_2019,False,0.0303270928727371,
36,0.4174267496747306,0.12331150810790303,-0.5075639946632942,0.017888141551573675,,0.24705270054961392,"{'2020': 1.2751921595201416, '2021': 0.0981628720154577, '2022': -0.432696078579102}",1.2751921595201416,-0.432696078579102,price,0.05,0.5,0.05,25,2020_2022,False,0.03739711934156378,
43,3.514583301694482,0.5229442347557436,-0.2209466956615398,0.04448181870254637,,1.0430458054963405,"{'2023': 0.7998288632087849, '2024': 1.0173189902821553, '2025': 0.09919906251848953, '2026': 0.13118993592058414}",,,price,0.05,0.5,0.05,25,2023_2026,False,0.021317829457364334,
71,0.9406883084880577,0.11858395148668244,-0.1706365242367739,0.010443236245375088,,1.0328464184664052,"{'2014': 0.18960827911453237, '2015': 0.07945998288173595, '2016': 0.0943297120778086, '2017': 0.11334158229328306, '2018': -0.12417019641156046, '2019': 0.4162793532194293}",,,price,0.05,0.5,0.05,50,2014_2019,False,0.0303270928727371,
36,0.4124270076798837,0.12198918600026065,-0.5080317084328014,0.017791176530997543,,0.24705270054961392,"{'2020': 1.2729902886640296, '2021': 0.0967707918591112, '2022': -0.43343132795620376}",1.2729902886640296,-0.43343132795620376,price,0.05,0.5,0.05,50,2020_2022,False,0.03739711934156378,
43,3.5045250698420087,0.5219965806486999,-0.22094669566153968,0.04442852412890294,,1.0430458054963405,"{'2023': 0.7977580770451347, '2024': 1.0168644829312186, '2025': 0.09900411178621193, '2026': 0.1304249236566466}",,,price,0.05,0.5,0.05,50,2023_2026,False,0.021317829457364334,
71,0.9206681878197678,0.11662523471150754,-0.17243920164782522,0.010295121907771966,,1.0328464184664052,"{'2014': 0.18960827911453237, '2015': 0.07755722016652533, '2016': 0.09190153709221471, '2017': 0.11225338823733999, '2018': -0.1260738715178238, '2019': 0.4117119311002253}",,,price,0.05,0.5,0.05,100,2014_2019,False,0.0303270928727371,
