id,rotation,floor,cap,step,cost_bps,overall_total,overall_ann,overall_dd,mean_turnover,bootstrap,2014_2019_total,2014_2019_dd,2014_2019_2022,2014_2019_2020,2020_2022_total,2020_2022_dd,2020_2022_2022,2020_2022_2020,2023_2026_total,2023_2026_dd,2023_2026_2022,2023_2026_2020
A,price,0.1,0.5,0.1,0,13.852888057791713,0.24092311007814926,-0.46256084165364986,0.04007465345595233,"{'n': 2000, 'block_months': 12, 'p025': 0.6057809437760773, 'median': 14.030053131743145, 'p975': 188.95429058992542, 'prob_positive': 0.989}",0.7950553177290238,-0.17901057426469635,,,0.671843808994175,-0.46256084165364975,-0.37927011224830653,1.2850078025894716,3.9492269594578664,-0.2209466956615398,,
A,price,0.1,0.5,0.1,50,13.416781710461713,0.23796813392509164,-0.46354122039433465,0.04007465345595233,"{'n': 2000, 'block_months': 12, 'p025': 0.5482757019683238, 'median': 13.524764054617563, 'p975': 183.3277233345584, 'prob_positive': 0.989}",0.7645097798897975,-0.18208023558267916,,,0.6601567627601028,-0.46354122039433465,-0.3808170055781196,1.2795109225940853,3.9214735346943437,-0.22094669566153968,,
A,price,0.1,0.5,0.1,100,12.993270346320514,0.23501871271348795,-0.4645203376658993,0.04007465345595233,"{'n': 2000, 'block_months': 12, 'p025': 0.5015519011042351, 'median': 13.079573903917392, 'p975': 177.12599731117976, 'prob_positive': 0.989}",0.7344686451230666,-0.18513998107862528,,,0.6485461026595583,-0.4645203376658992,-0.3823607965323721,1.274024837943565,3.8938615009279998,-0.2209466956615398,,
B,price,0.1,0.5,0.15,0,14.714735531369143,0.24653525563525847,-0.46260831077891473,0.04578317995863575,"{'n': 2000, 'block_months': 12, 'p025': 0.6326003638331298, 'median': 14.74414170725167, 'p975': 206.1569792230921, 'prob_positive': 0.9895}",0.7550392195228981,-0.18448595876571572,,,0.7007659841383207,-0.46260831077891473,-0.37881351581333567,1.2869749778401913,4.2647249793964965,-0.2209466956615398,,
B,price,0.1,0.5,0.15,50,14.192592352107924,0.24317008458334954,-0.4635511628025526,0.04578317995863575,"{'n': 2000, 'block_months': 12, 'p025': 0.5844396150950312, 'median': 14.130692875780298, 'p975': 200.06309743739732, 'prob_positive': 0.989}",0.718497341751978,-0.1879818304585098,,,0.6885783332542033,-0.4635511628025526,-0.38028130442366603,1.2803759335938212,4.235543929238961,-0.22094669566153968,,
B,price,0.1,0.5,0.15,100,13.687434353292545,0.23981154197284682,-0.4644929758618773,0.04578317995863575,"{'n': 2000, 'block_months': 12, 'p025': 0.5379291244140864, 'median': 13.58815865816441, 'p975': 194.1453145589003, 'prob_positive': 0.989}",0.6826901192054451,-0.1914654622117513,,,0.6764697508429338,-0.4644929758618772,-0.3817465650834476,1.2737910466360494,4.206502392010511,-0.2209466956615398,,
C,price_plus_capex,0.1,0.5,0.1,0,14.133811430877655,0.2427846069256001,-0.4538645255342143,0.02545435280031421,"{'n': 2000, 'block_months': 12, 'p025': 0.8998630693248961, 'median': 14.350444713236662, 'p975': 155.84930941108723, 'prob_positive': 0.9945}",0.9653631024621367,-0.17512439982530947,,,0.681232828378949,-0.4538645255342142,-0.3890019481020355,1.2463641434615176,3.580128453268915,-0.19355781066903865,,
C,price_plus_capex,0.1,0.5,0.1,50,13.852888251255083,0.24092311137122135,-0.45433889366598545,0.02545435280031421,"{'n': 2000, 'block_months': 12, 'p025': 0.8650765848254794, 'median': 14.06640329582677, 'p975': 153.0639859336224, 'prob_positive': 0.993}",0.942175959024065,-0.1764165419674636,,,0.6749005049134313,-0.4543388936659857,-0.3897262781273587,1.2426795504588504,3.565972863974122,-0.19364022110003265,,
C,price_plus_capex,0.1,0.5,0.1,100,13.577063614101665,0.23906361437101453,-0.4548130505746809,0.02545435280031421,"{'n': 2000, 'block_months': 12, 'p025': 0.8299777955755206, 'median': 13.764298738183104, 'p975': 150.32699204423614, 'prob_positive': 0.9925}",0.9192523584566092,-0.1777071501150045,,,0.6685895107231761,-0.45481305057468113,-0.39045002963894226,1.2389996043852265,3.551855396652175,-0.19372262907974203,,
D,price_plus_capex,0.1,0.7,0.1,0,17.00744510036242,0.2601904031089013,-0.4320613047617823,0.034990109274728703,"{'n': 2000, 'block_months': 12, 'p025': 1.3245969935270232, 'median': 16.407565248161987, 'p975': 146.116083482901, 'prob_positive': 0.998}",1.2343578627251857,-0.1794930115496325,,,0.6142388975932849,-0.4320613047617823,-0.3667245252310609,1.083308859396189,3.992655024355825,-0.19357171974507803,,
D,price_plus_capex,0.1,0.7,0.1,50,16.546951720625557,0.2575814842433375,-0.43317110008613235,0.034990109274728703,"{'n': 2000, 'block_months': 12, 'p025': 1.260407512637473, 'median': 15.977186322079588, 'p975': 142.6795098051179, 'prob_positive': 0.9975}",1.2006148661420646,-0.18209918709363115,,,0.6050125198527512,-0.43317110008613247,-0.3679670404720925,1.0782291792355836,3.967972855188357,-0.1936544796076618,,
D,price_plus_capex,0.1,0.7,0.1,100,16.098024242867933,0.25497673333730897,-0.4342792045656163,0.034990109274728703,"{'n': 2000, 'block_months': 12, 'p025': 1.198072620359966, 'median': 15.495098856852302, 'p975': 139.32168091355592, 'prob_positive': 0.997}",1.1673649624139393,-0.18469839068565552,,,0.5958348692967903,-0.4342792045656162,-0.3692076506136027,1.073159666784878,3.943402011653588,-0.19373723701695011,,
