month,regime,raw,leader,cash,nav,spy_ret,state_nav_ret,cum_spy
2022-01,DIFFERENTIATING,DISPERSAL,AI/hyperscale,0.75,0.9975,,-0.0024999999999999467,1.0
2022-02,CONCENTRATED (bloc),CONCENTRATED (bloc),AI/hyperscale,0.2,1.0045009272003174,-0.029517014514213846,0.007018473383776813,0.9704829854857862
2022-03,CONCENTRATED (bloc),CONCENTRATED (bloc),uranium,0.2,1.0013404072883365,0.03755557049369118,-0.003146358381957537,1.0069300276601254
2022-04,CONCENTRATED (bloc),CONCENTRATED (bloc),uranium,0.2,0.9103929757995782,-0.08776901957314232,-0.09082568807449509,0.9185527663536391
2022-05,CONCENTRATED (bloc),CONCENTRATED (bloc),uranium,0.2,0.8711349777066155,0.0022572815534194213,-0.04312203535894299,0.9206261985689715
2022-06,CONCENTRATED (bloc),CONCENTRATED (bloc),clean_energy,0.2,0.7608620011553713,-0.08246927482056199,-0.12658540797151008,0.8447028235921777
2022-07,CONCENTRATED (bloc),CONCENTRATED (bloc),clean_energy,0.2,0.8730757548112799,0.09208747514911031,0.1474823995488166,0.9224893738681057
2022-08,CONCENTRATED (bloc),CONCENTRATED (bloc),clean_energy,0.2,0.8662916040482835,-0.04080196121280777,-0.007770403341990306,0.8848499982163119
2022-09,DISPERSAL,DISPERSAL,clean_energy,0.5,0.7685498952564402,-0.09241638853125533,-0.1128277225995089,0.8030753569892727
2022-10,DISPERSAL,DISPERSAL,crypto,0.5,0.785250225945473,0.08127554734287057,0.02172966360688977,0.868345746186147
2022-11,DISPERSAL,DISPERSAL,biotech,0.5,0.7977310635855778,0.055591517568279514,0.015894089842606984,0.916618403990595
2022-12,CONCENTRATED (bloc),CONCENTRATED (bloc),biotech,0.2,0.7503488648806246,-0.05757580512799798,-0.059396206149956665,0.863843361385696
2023-01,CONCENTRATED (bloc),CONCENTRATED (bloc),AI/hyperscale,0.2,0.7774391995693923,0.06288732578509282,0.0361036525231202,0.9181681602804479
2023-02,CONCENTRATED (bloc),DISPERSAL,AI/hyperscale,0.2,0.7834724687693041,-0.02514268844731593,0.0077604386339837905,0.8950829442842714
2023-03,CONCENTRATED (bloc),CONCENTRATED (bloc),crypto,0.2,0.8389914878554368,0.037124943004764654,0.07086275689220223,0.9283128475753619
2023-04,CONCENTRATED,CONCENTRATED,crypto,0.0,0.8103256532673404,0.015974987176053945,-0.03416701480651452,0.9431426334107444
2023-05,CONCENTRATED,CONCENTRATED,AI/hyperscale,0.0,0.8322609167016258,0.004616161373345529,0.027069689014335818,0.9474963320046506
2023-06,CONCENTRATED,CONCENTRATED,AI/hyperscale,0.0,0.8779306074121181,0.064814188063959,0.054874246518132885,1.0089075374571113
2023-07,CONCENTRATED,CONCENTRATED,AI/hyperscale,0.0,0.9261951669132584,0.03273326114430075,0.0549753694581967,1.0419323713511484
2023-08,CONCENTRATED (bloc),CONCENTRATED (bloc),crypto,0.2,0.8918148853530979,-0.016251993272158316,-0.037119910347556684,1.0249988934619054
2023-09,CONCENTRATED (bloc),CONCENTRATED (bloc),crypto,0.2,0.8423743675048837,-0.047393295030820015,-0.05543809445234715,0.9764208184978013
2023-10,CONCENTRATED,CONCENTRATED,uranium,0.0,0.9396599385479533,-0.021708617947150732,0.1154897095589813,0.9552240719933883
2023-11,CONCENTRATED,CONCENTRATED,uranium,0.0,1.0138804702067812,0.09134385461513284,0.07898658718335927,1.0424779207504276
2023-12,CONCENTRATED,CONCENTRATED,crypto,0.0,1.0184956895320916,0.045662487638590044,0.004552034939946159,1.090080055920197
2024-01,CONCENTRATED,CONCENTRATED,crypto,0.0,0.7794809447027777,0.015926448002356652,-0.23467428216521946,1.1074411592492162
2024-02,CONCENTRATED,CONCENTRATED,crypto,0.0,1.4142017234353175,0.05218687872767025,0.8142864595292496,1.1652350567249856
2024-03,CONCENTRATED,CONCENTRATED,crypto,0.0,2.0993217762168537,0.0327238950992339,0.48445709082949806,1.203366086487204
2024-04,CONCENTRATED,CONCENTRATED,crypto,0.0,1.4632389519506483,-0.04031965128957704,-0.3029944391909646,1.154846785506337
2024-05,DIFFERENTIATING,DIFFERENTIATING,crypto,0.0,1.8428930610246042,0.0505797043707672,0.25946145608537674,1.213258594510778
2024-06,DIFFERENTIATING,DIFFERENTIATING,crypto,0.0,1.75535435079057,0.03528469037531301,-0.0475006998970221,1.2560680483632785
2024-07,DIFFERENTIATING,DIFFERENTIATING,AI/hyperscale,0.0,1.8416645203489297,0.012109073536438864,0.04916965598398271,1.2712778687276807
2024-08,DISPERSAL,DISPERSAL,crypto,0.5,1.7475023682436195,0.02336558886003015,-0.051128829960556454,1.300982024735227
2024-09,DISPERSAL,DISPERSAL,biotech,0.5,1.7973794754089425,0.021009183278500432,0.028541939668701888,1.328314594534924
2024-10,DISPERSAL,DISPERSAL,metals,0.5,1.8229073161897675,-0.008923591745760406,0.01420281088667541,1.316461257383359
2024-11,CONCENTRATED,CONCENTRATED,crypto,0.0,1.9114939700846358,0.05963351153638108,0.04859635654983907,1.3949664649627282
2024-12,CONCENTRATED,CONCENTRATED,crypto,0.0,1.515575076595444,-0.024099758574682273,-0.20712536878767218,1.3613481099373486
2025-01,CONCENTRATED,CONCENTRATED,crypto,0.0,1.765085273952815,0.026856401856344192,0.16463070765050136,1.3979090218442005
2025-02,CONCENTRATED,DIFFERENTIATING,crypto,0.0,1.3265310990468702,-0.01269482569540803,-0.24846061625330196,1.3801628104738501
2025-03,CONCENTRATED,CONCENTRATED,metals,0.0,1.2655508114386422,-0.055720945170111946,-0.045969738404205596,1.303258834185609
2025-04,CONCENTRATED,CONCENTRATED (bloc),metals,0.0,1.2721696306319246,-0.008670158565590613,0.005229990873111046,1.2919593734412131
2025-05,CONCENTRATED,DISPERSAL,metals,0.0,1.285121667231401,0.0628448804413635,0.010181060990304136,1.3731524058002251
2025-06,CONCENTRATED,CONCENTRATED (bloc),crypto,0.0,1.3317872200613632,0.05139375529720058,0.03631216718219066,1.4437238645296842
2025-07,CONCENTRATED,CONCENTRATED,uranium,0.0,1.3658962457180508,0.023031480132707616,0.02561146791535962,1.4769749620327155
2025-08,CONCENTRATED,DIFFERENTIATING,uranium,0.0,1.411356715277478,0.0205195544867669,0.03328252032461565,1.5072818302417363
2025-09,CONCENTRATED,CONCENTRATED,metals,0.0,1.6377325023650307,0.03560647421416885,0.1603958691924645,1.560950821863724
