symbol,buy_date,sell_date,qty,sale_proceeds_eur,cost_basis_eur,capital_gain_eur,method
CXT,2026-08-05,2026-08-06,18,858.05,844.85,13.2,FIFO
WTS,2026-08-05,2026-08-13,2,668.87,621.88,46.99,FIFO
DBX,2026-08-06,2026-08-13,9,263.27,269.56,-6.29,FIFO
HRB,2026-08-11,2026-08-18,22,974.57,891.06,83.51,FIFO
TOL,2026-08-18,2026-08-19,7,922.4,859.94,62.46,FIFO
BILL,2026-08-19,2026-08-26,21,863.47,900.62,-37.15,FIFO
SMTC,2026-08-25,2026-09-01,8,871.58,865.51,6.07,FIFO
NTNX,2026-08-26,2026-09-01,17,980.54,957.73,22.81,FIFO
ANF,2026-08-25,2026-09-02,9,1065.11,860.1,205.01,FIFO
OKTA,2026-08-26,2026-09-02,8,1134.08,888.3,245.78,FIFO
