Date,Type,Symbol,Amount,Total (EUR)
2026-08-05,Buy,CXT,18,844.85
2026-08-06,Sell,CXT,18,858.05
2026-08-05,Buy,WTS,2,621.88
2026-08-13,Sell,WTS,2,668.87
2026-08-06,Buy,DBX,9,269.56
2026-08-13,Sell,DBX,9,263.27
2026-08-11,Buy,HRB,22,891.06
2026-08-18,Sell,HRB,22,974.57
2026-08-18,Buy,TOL,7,859.94
2026-08-19,Sell,TOL,7,922.40
2026-08-19,Buy,BILL,21,900.62
2026-08-26,Sell,BILL,21,863.47
2026-08-25,Buy,ANF,9,860.10
2026-08-25,Buy,SMTC,8,865.51
2026-08-26,Buy,NTNX,17,957.73
2026-08-26,Buy,OKTA,8,888.30
