date,symbol,action,qty,price_usd,fees_usd,exchange_rate,total_eur
2026-08-05,CXT,BUY,18,54.23,0.00,0.865501,844.85
2026-08-06,CXT,SELL,18,55.02,0.00,0.866401,858.05
2026-08-05,WTS,BUY,2,359.26,0.00,0.865501,621.88
2026-08-13,WTS,SELL,2,385.74,0.00,0.867002,668.87
2026-08-06,DBX,BUY,9,34.57,0.00,0.866401,269.56
2026-08-13,DBX,SELL,9,33.74,0.00,0.867002,263.27
2026-08-11,HRB,BUY,22,46.74,0.00,0.866551,891.06
2026-08-18,HRB,SELL,22,51.28,0.00,0.863856,974.57
2026-08-18,TOL,BUY,7,142.21,0.00,0.863856,859.94
2026-08-19,TOL,SELL,7,152.92,0.00,0.861698,922.40
2026-08-19,BILL,BUY,21,49.77,0.00,0.861698,900.62
2026-08-26,BILL,SELL,21,47.98,0.00,0.856971,863.47
2026-08-25,ANF,BUY,9,111.45,0.00,0.857486,860.10
2026-08-25,SMTC,BUY,8,126.17,0.00,0.857486,865.51
2026-08-26,NTNX,BUY,17,65.74,0.00,0.856971,957.73
2026-08-26,OKTA,BUY,8,129.57,0.00,0.856971,888.30
